 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  157     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:23:214,
  158     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:23:215,
  159     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,80                              ,00:02:23:216,
  160     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:23:217,
  161     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:23:218,
  162     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:23:218,
  163     ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  72  14  FF  E0  00  00  ,00:02:23:219,
  164     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:23:220,
  165     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,00  00  00  00  04  00  00  00  ,00:02:23:221,
  166     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:23:222,
  167     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:23:223,
  168     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:23:223,
  169     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,08  00                          ,00:02:23:224,
  170     ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:23:226,
  171     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  80  00              ,00:02:23:227,
  172     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:23:231,
  173     ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:02:23:232,
  174     ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:02:23:233,
  175     ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:02:23:234,
  176     ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:02:23:238,
  177     ,Receive ,                    ,Ext / Data,0x12F85150,5   ,41  41  60  00  40              ,00:02:23:239,
  178     ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6F  CA  3C  CA  C7  D9  00  ,00:02:23:240,
  179     ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:02:23:249,
  180     ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:02:23:281,
  181     ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  FE  00                      ,00:02:23:320,
  182     ,Receive ,                    ,Ext / Data,0xEF87310,4   ,20  A7  A9  40                  ,00:02:23:321,
  183     ,Receive ,                    ,Ext / Data,0x12F81010,4   ,28  00  80  00                  ,00:02:23:322,
  184     ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,80                              ,00:02:23:323,
  185     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  80  00              ,00:02:23:326,
  186     ,Receive ,                    ,Ext / Data,0x12F85351,8   ,00  21  00  00  00  00  36  C0  ,00:02:23:331,
  187     ,Receive ,                    ,Ext / Data,0xEF95251,8   ,01  B8  B8  F0  28  84  BA  FE  ,00:02:23:332,
  188     ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,80                              ,00:02:23:333,
  189     ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:02:23:345,
  190     ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:02:23:354,
  191     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  80  00              ,00:02:23:425,
  192     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:02:23:445,
  193     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:23:511,
  194     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:23:512,
  195     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,80                              ,00:02:23:513,
  196     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:23:514,
  197     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:23:515,
  198     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:23:515,
  199     ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  72  14  FF  E0  00  00  ,00:02:23:517,
  200     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:23:517,
  201     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,01  35  46  4E  52  4C  35  00  ,00:02:23:518,
